codigo,nombre,creditos,semestre,prerrequisitos
ADM-160,PRINCIPIOS DE ADMINISTRACIÓN,3,1,
CON-118,CONTABILIDAD I,3,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,3,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
TUR-096,INTRODUCCIÓN A LA CARRERA DE TURISMO,2,1,
CON-119,CONTABILIDAD II,3,2,CON-118
ECO-100,PRINCIPIO DE ECONOMÍA,4,2,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,2,
TUR-101,INTROD. INDUSTRIA HOSP.,3,2,TUR-096
ECO-120,MICROECONOMÍA,3,3,ECO-110
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,3,SOC-114
TUR-200,GEO. TUR. UNIVERSAL,3,3,TUR-096
TUR-420,CONTABILIDAD HOTELERA Y GERENCIA,4,3,CON-119
FRA-100,FRANCÉS I,4,4,
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICAS,2,4,MAT-100
MAT-180,MATEMÁTICA FINANCIERA,4,4,MAT-100
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
TUR-102,INTROD. CONTAB. COSTO,3,4,TUR-420
TUR-230,ESTRUCTURA EMPRESAS TUR,3,4,TUR-101
ADM-197,GESTIÓN RECURSOS HUMANOS,4,5,TUR-230
FRA-110,FRANCÉS II,4,5,FRA-100
ING-135,INGLÉS IV,0,5,ING-125
MAT-130,ESTADÍSTICA I,3,5,MAT-134
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
TUR-210,GEO. TURÍSTICA DOMINICANA,3,5,TUR-096
TUR-220,GEST AGENCIAS VIAJES Y TUR,3,5,TUR-230
TUR-500,COSTO HOTELERO,3,5,TUR-102
FRA-132,FRANCÉS TÉCNICO PARA TURISMO,4,6,FRA110
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
SOC-480,ETIQUETA Y PROTOCOLO,2,6,
TUR-103,ECOLOGÍA Y TURISMO,2,6,
TUR-430,HOTELERÍA I,4,6,TUR-230
TUR-440,"TEC. ALIMENTOS, BEBIDAS I",3,6,TUR-500;TUR-445
TUR-445,LAB TEC ALIM Y BEBIDAS I,1,6,TUR-500;TUR-440
ING-145,INGLÉS TÉCNICO TURISMO,4,7,ING-168
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
TUR-104,PATRIMONIO FOLKORE E HIST. DOM.,2,7,SOC-172
TUR-140,TEC. DE COM. EN TURISMO,3,7,INF-113
TUR-450,"TEC. ALIM, BEBIDAS II",3,7,TUR440;TUR445;TUR455
TUR-455,LAB. TEC. ALIM. BEB. II,1,7,TUR440;TUR445;TUR450
TUR-530,HOTELERÍA II,4,7,TUR-430
TUR-710,DERECHO LABORAL APLICADO AL TURISMO,3,7,TUR-230
ALE-100,ALEMÁN I,4,8,
ECO-525,FINANZAS PERSONALES,2,8,
MER-100,MERCADEO I,4,8,
TUR-105,GESTIÓN Y ADM. EMPR. TUR.,4,8,TUR-530
TUR-400,INFORMÁTICA PARA TURISMO,3,8,INF-113
TUR-700,HIST. ARTE Y CULT. UNIV.,3,8,TUR-200
TUR-810,NUTRICIÓN ALIMENTARIA,2,8,TUR-450;TUR-455
ALE-110,ALEMÁN II,4,9,ALE-100
DER-860,LEGISLACIÓN TURÍSTICA,3,9,
TUR-122,COCINA GOURMET,2,9,TUR-810
TUR-900,COMERC. EMPRE. TUR. I,4,9,MER-100
TUR-911,"EVENTOS, CONGRESOS Y CONV",3,9,TUR-450;TUR-455
ADM-291,GESTIÓN FINANCIERA I,4,10,MAT-180
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
ITA-100,ITALIANO I,4,10,
TUR-180,INFRAESTRUCTURA Y DES. TUR.,3,10,DER-860
ADM-422,INTERP. ANAL. FIN. TUR.,3,11,ADM-291
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
ITA-110,ITALIANO II,4,11,ITA-100
TUR-205,FORM Y EVAL PROY TUR,4,11,TUR-180
DPG-020,PROYECTO DE GRADO,6,12,
TUR-121,ENOLOGÍA,2,12,
TUR-123,"SERVICIO MESA, REST., BANQUE",2,12,
TUR-124,ADM. DE RESTAURANTE,2,12,
TUR-125,PLANIF. DEL TIEMPO LIBRE,6,12,
