codigo,nombre,creditos,semestre,prerrequisitos
ADM-112,INTRODUCCIÓN A LA ADMINISTRACIÓN DE EMPRESA,2,1,
ADM-160,PRINCIPIOS DE LA ADMINISTRACIÓN,4,1,
CON-118,CONTABILIDAD I,3,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ADM-181,ORGANIZACIÓN EMPRESARIAL,4,2,ADM-160
CON-119,CONTABILIDAD II,3,2,CON-118
ECO-100,PRINCIPIOS DE ECONOMÍA,4,2,
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
ADM-165,DIRECCIÓN ADMINISTRATIVA,4,3,ADM-181
CON-120,CONTABILIDAD III,3,3,CON-119
ECO-110,MICROECONOMÍA,3,3,ECO-100;MAT-100
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100;SOC-182
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
ADM-197,GESTIÓN DE RECURSOS HUMANOS,4,4,ADM-165
CON-500,EXCEL PARA FINANZAS,2,4,INF-113
ECO-120,MACROECONOMÍA,3,4,ECO-110
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICAS,2,4,MAT-100
MER-100,MERCADEO I,4,4,
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
ADM-116,GESTIÓN DE SERVICIOS,3,5,MER-100
ADM-198,GESTIÓN DE RECURSOS HUMANOS II,3,5,ADM-197
ADM-510,LIDERAZGO Y DECISIONES,3,5,ADM-165
ING-135,INGLÉS IV,0,5,ING-125
MAT-180,MATEMÁTICA FINANCIERA,4,5,MAT-100
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
ADM-415,ADMINISTRACIÓN DE PEQUEÑA Y MEDIANA EMPRESA,3,6,ADM-197
ADM-558,GESTIÓN DE VENTAS,4,6,MER-100
ADM-680,GESTIÓN DE SUMINISTROS,4,6,MER-100
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
MER-126,INV. DE MERCADOS I,3,6,MER-100
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
ADM-142,GESTIÓN OPERATIVA,4,7,ADM-558
ADM-260,PRESUPUESTO EMPRESARIAL,3,7,ADM-415
ADM-420,INTERPRETACIÓN ANÁLISIS FINANCIERO,3,7,CON-500
ADM-710,PLANIFICACIÓN ESTRATÉGICA,3,7,ADM-415
MER-145,PROM. DE VENTAS,3,7,MER-126
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ADM-170,ADMINISTRACIÓN BANCARIA,3,8,ADM-116;ADM-165
ADM-201,ADMINISTRACIÓN AGROINDUSTRIAL,3,8,ADM-415;MER126
ADM-317,ADM. DE LOS IMPUESTOS,3,8,ADM-415
ADM-805,FINANZAS PERSONALES,2,8,
ADM-806,ADMINISTRACIÓN DE EMPRESAS VIRTUALES,2,8,CON-500
CON-106,CONTABILIDAD ADMINISTRATIVA,3,8,CON-500
ADM-291,GESTIÓN FINANCIERA I,4,9,CON-106
ADM-390,ADMINISTRACIÓN PÚBLICA,3,9,ADM-116;ADM-710
ADM-650,AUDITORÍA OPERAT. Y ADM.,3,9,ADM-197
ADM-702,GESTIÓN DE LA PRODUCTIVIDAD,4,9,ADM-260
ECO-250,EVALUACIÓN DE PROYECTOS,4,9,MER-126
ADM-185,DESARROLLO GERENCIAL,3,10,ADM-165;ADM-198
ADM-292,GESTIÓN FINANCIERA II,4,10,ADM-291
ADM-319,FINANZAS CORPORATIVAS,3,10,ADM-260;ECO-120
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
ADM-620,GESTIÓN DE LA CALIDAD,4,11,
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
DPG-020,PROYECTO DE GRADO,6,12,
ADM-194,MERCADO DE VALORES,3,12,ADM-170
ADM-314,POLÍTICA Y DECISIONES DE PERSONAL,3,12,ADM-197
ADM-315,POLÍTICA Y DECISIONES EN FINANZAS,3,12,ADM-291
ADM-318,ADMINISTRACIÓN DE EMPRESAS COOPERATIVAS,3,12,
ADM-323,ADMINISTRACIÓN DE EMPRESAS CORPORATIVAS,3,12,ADM-415;ADM-710
ECO-280,PRESUPUESTO PÚBLICO,3,12,ADM-291
