codigo,nombre,creditos,semestre,prerrequisitos
CON-118,CONTABILIDAD I,3,1,
ECO-100,PRINCIPIOS DE ECONOMÍA,4,1,
ESP-181,LENGUA ESPAÑOLA I,4,1,
INF-103,OFIMÁTICA,2,1,
MAT-095,MATEMÁTICA BÁSICA,4,1,
MER-102,INTRODUCCIÓN AL MERCADEO,2,1,
ORI-112,ORIENTACIÓN UNIVERSITARIA,2,1,
SOC-182,REFLEXIÓN FILOSÓFICA,3,1,
ADM160,PRINCIPIOS DE ADMINISTRACIÓN,4,2,
CON-119,CONTABILIDAD II,3,2,CON-118
ECO-110,MICROECONOMÍA,3,2,ECO-100;MAT-095
ESP-189,LENGUA ESPAÑOLA II,4,2,ESP-181
INF-113,TEC. DE LA INFORMACIÓN Y COMUNICACIONES,2,2,INF-103
ING-105,INGLÉS I,0,2,
MAT-100,MATEMÁTICA I,4,2,MAT-095
MER-100,MERCADEO I,4,2,MER-102
ECO-120,MACROECONOMÍA,3,3,ECO-110
ESP-302,REDACCIÓN PROFESIONAL,3,3,ESP-189
ING-115,INGLÉS II,0,3,ING-105
MAT-306,PENSAMIENTO LÓGICO,3,3,MAT-100
MER-210,MERCADEO II,3,3,MER-100
SOC-114,METODOLOGÍA DE LA INVESTIGACIÓN I,3,3,
ADM-181,ORGANIZACIÓN EMPRESARIAL,4,4,ADM-160
ING-125,INGLÉS III,0,4,ING-115
MAT-134,FUNDAMENTOS DE ESTADÍSTICA,2,4,MAT-100
MER-402,DISEÑO GRÁFICO,3,4,
MER-430,TÉCNICAS DE VENTAS,3,4,MER-210
SIC-102,INTROD. A LA PSICOLOGÍA,4,4,
SOC-118,METODOLOGÍA DE LA INVESTIGACIÓN II,3,4,SOC-114
SOC-172,DEBATES DE HISTORIA DOMINICANA,3,4,
ING-135,INGLÉS IV,0,5,ING-125
MAT-130,ESTADÍSTICA I,3,5,MAT-134
MAT-180,MATEMÁTICA FINANCIERA,4,5,MAT-100
MER-507,MARKETING SOCIAL MEDIA,4,5,
MER-520,GERENCIA DE VENTAS,4,5,MER-430
SOC-502,CIUDADANÍA Y GLOBALIZACIÓN,2,5,
ING-168,INGLÉS PROFESIONAL,0,6,ING-135
MAT-140,ESTADÍSTICA II,3,6,MAT-130
MER-126,INVESTIGACIÓN DE MERCADOS I,3,6,MER-520
MER-145,PROMOCIÓN DE VENTAS,3,6,MER-520
SOC-155,MEDIO AMBIENTE Y SOSTENIBILIDAD,3,6,
SOC-160,ÉTICA PROFESIONAL,2,6,
MER-151,INVESTIGACIÓN DE MERCADOS II,4,7,MER-126
MER-170,DETERMINACIÓN Y POLÍTICA DE PRECIO,3,7,MER-520
MER-706,MARKETING DIGITAL,3,7,MER-507
MER-707,TÉCNICA DE NEGOCIACIÓN,3,7,
MER-810,LOGÍSTICA Y CADENA DE ABASTO,3,7,MER-126
SIC-766,INTELIGENCIA EMOCIONAL,2,7,
ADM-260,PRESUPUESTO EMPRESARIAL,3,8,
ECO-525,FINANZAS PERSONALES,2,8,
MER-310,ESTUDIO DEL COMPORTAMIENTO DEL CONSUMIDOR,3,8,MER-151
MER-370,MERCADEO INTERNACIONAL,3,8,MER-151
MER-801,PUBLICIDAD I,3,8,MER-145;MER-151
MER-802,NEUROMARKETING,4,8,MER-706
MER-385,GLOBALIZACIÓN DE LOS MERCADOS,4,9,MER-370
MER-505,MERCADEO DE SERVICIOS,3,9,MER-310
MER-901,PUBLICIDAD II,4,9,MER-801
MER-902,ANALÍTICA DE DATOS,4,9,MER-706
MER-930,GERENCIA ESTRATÉGICA DE MARKETING,3,9,MER-310;MER-810
ADM-900,FORMACIÓN DE EMPRENDEDORES,3,10,
MER-345,AUDITORÍA DE MERCADOS,4,10,MER-930
MER-903,RESPONSABILIDAD SOCIAL,3,10,MER-310
MER-904,TRADE MARKETING,3,10,MER-310
MER-905,MODELO DE NEGOCIOS,4,10,MER-385
MER-940,MERCADEO POLÍTICO,3,10,MER-310
DPG-010,ANTEPROYECTO DE GRADO,4,11,ADM-900
MER-326,GERENCIA DE MARCAS,3,11,MER-930
MER-365,DISEÑO Y DESARROLLO DE PRODUCTOS,4,11,MER-345
MER-506,MARKETING RELACIONAL,3,11,MER-505
MER-950,LIDERAZGO GERENCIAL,3,11,MER-345
DPG-020,PROYECTO DE GRADO,6,12,
